Question,BestAnswer,SystemRank
ClinicalTrials.gov - Suggestion. Please help me with my brother with locked-in syndrome in Martinique for 3 years.Somebody please help. God bless . NAME,"Gastroesophageal reflux - discharge (Drug Treatment): Antacids can help neutralize your stomach acid. They do not help to treat the irritation in your esophagus. Common side effects of antacids include diarrhea or constipation. Other over-the-counter drugs and prescription drugs can treat GERD. They work more slowly than antacids but give you longer relief. Your provider can tell you how to take these drugs. There are two different types of these drugs: H2 antagonists: famotidine (Pepcid), cimetidine (Tagamet), ranitidine (Zantac), and nizatidine (Axid) Proton pump inhibitors (PPI): omeprazole (Prilosec or Zegarid), esomeprazole (Nexium), lansoprazole (Prevacid), dexlansoprazole (Dexilant), rabeprazole (AcipHex), and pantoprazole (Protonix)",10.0
"EPI 743. hi My name is NAME My son, His age 4 month discovered it leigh disease infected from the mother side. and we have full family history with the leigh disease. my Daughter she lived for 7 years with the same disease, we have her Hospital reports, it is confirmed leigh Disease. Kindly, if there is any hope for my son with EPI743 treatment, and we are appreciate to accept him in the treatment study. i have a full reports for my son and the MRI. and all of it under your request. Hope get your help ASAP because he is in the first stage. and we have a we are all hope he will be better. Best Regards","IMH » Attention Deficit Hyperactivity Disorder (Treatment and Therapies): While there is no cure for ADHD, currently available treatments can help reduce symptoms and improve functioning. Treatments include medication, psychotherapy, education or training, or a combination of treatments. Medication For many people, ADHD medications reduce hyperactivity and impulsivity and improve their ability to focus, work, and learn. Medication also may improve physical coordination. Sometimes several different medications or dosages must be tried before finding the right one that works for a particular person. Anyone taking medications must be monitored closely and carefully by their prescribing doctor. Stimulants. The most common type of medication used for treating ADHD is called a ""stimulant."" Although it may seem unusual to treat ADHD with a medication that is considered a stimulant, it works because it increases the brain chemicals dopamine and norepinephrine, which play essential roles in thinking and attention. Under medical supervision, stimulant medications are considered safe. However, there are risks and side effects, especially when misused or taken in excess of the prescribed dose.For example, stimulants can raise blood pressure and heart rate and increase anxiety. Therefore, a person with other health problems, including high blood pressure, seizures, heart disease, glaucoma, liver or kidney disease, or an anxiety disorder should tell their doctor before taking a stimulant. Talk with a doctor if you see any of these side effects while taking stimulants: decreased appetite sleep problems tics (sudden, repetitive movements or sounds); personality changes increased anxiety and irritability stomachaches headaches Non-stimulants. A few other ADHD medications are non-stimulants. These medications take longer to start working than stimulants, but can also improve focus, attention, and impulsivity in a person with ADHD. Doctors may prescribe a non-stimulant: when a person has bothersome side effects from stimulants; when a stimulant was not effective; or in combination with a stimulant to increase effectiveness. Although not approved by the U.S. Food and Drug Administration (FDA) specifically for the treatment of ADHD, some antidepressants are sometimes used alone or in combination with a stimulant to treat ADHD. Antidepressants may help all of the symptoms of ADHD and can be prescribed if a patient has bothersome side effects from stimulants. Antidepressants can be helpful in combination with stimulants if a patient also has another condition, such as an anxiety disorder, depression, or another mood disorder. Doctors and patients can work together to find the best medication, dose, or medication combination. Learn the basics about stimulants and other mental health medications on the NIMH Mental Health Medications webpage and check the FDAwebsite (http://www.fda.gov/), for the latest information on warnings, patient medication guides, or newly approved medications. Psychotherapy Adding psychotherapy to treat ADHD can help patients and their families to better cope with everyday problems. Behavioral therapy is a type of psychotherapy that aims to help a person change his or her behavior. It might involve practical assistance, such as help organizing tasks or completing schoolwork, or working through emotionally difficult events. Behavioral therapy also teaches a person how to: monitor his or her own behavior give oneself praise or rewards for acting in a desired way, such as controlling anger or thinking before acting Parents, teachers, and family members also can give positive or negative feedback for certain behaviors and help establish clear rules, chore lists, and other structured routines to help a person control his or her behavior. Therapists may also teach children social skills, such as how to wait their turn, share toys, ask for help, or respond to teasing. Learning to read facial expressions and the tone of voice in others, and how to respond appropriately can also be part of social skills training. Cognitive behavioral therapy can also teach a person mindfulness techniques, or meditation. A person learns how to be aware and accepting of one's own thoughts and feelings to improve focus and concentration. The therapist also encourages the person with ADHD to adjust to the life changes that come with treatment, such as thinking before acting, or resisting the urge to take unnecessary risks. Family and marital therapy can help family members and spouses find better ways to handle disruptive behaviors, to encourage behavior changes, and improve interactions with the patient. For more information on psychotherapy, see the Psychotherapies webpage on the NIMH website. Education and Training Children and adults with ADHD need guidance and understanding from their parents, families, and teachers to reach their full potential and to succeed. For school-age children, frustration, blame, and anger may have built up within a family before a child is diagnosed. Parents and children may need special help to overcome negative feelings. Mental health professionals can educate parents about ADHD and how it affects a family. They also will help the child and his or her parents develop new skills, attitudes, and ways of relating to each other. Parenting skills training (behavioral parent management training) teaches parents the skills they need to encourage and reward positive behaviors in their children. It helps parents learn how to use a system of rewards and consequences to change a child's behavior. Parents are taught to give immediate and positive feedback for behaviors they want to encourage, and ignore or redirect behaviors that they want to discourage. They may also learn to structure situations in ways that support desired behavior. Stress management techniques can benefit parents of children with ADHD by increasing their ability to deal with frustration so that they can respond calmly to their child's behavior. Support groups can help parents and families connect with others who have similar problems and concerns. Groups often meet regularly to share frustrations and successes, to exchange information about recommended specialists and strategies, and to talk with experts. Tips to Help Kids and Adults with ADHD Stay Organized For Kids: Parents and teachers can help kids with ADHD stay organized and follow directions with tools such as: Keeping a routine and a schedule. Keep the same routine every day, from wake-up time to bedtime. Include times for homework, outdoor play, and indoor activities. Keep the schedule on the refrigerator or on a bulletin board in the kitchen. Write changes on the schedule as far in advance as possible. Organizing everyday items. Have a place for everything, and keep everything in its place. This includes clothing, backpacks, and toys. Using homework and notebook organizers. Use organizers for school material and supplies. Stress to your child the importance of writing down assignments and bringing home the necessary books. Being clear and consistent. Children with ADHD need consistent rules they can understand and follow. Giving praise or rewards when rules are followed. Children with ADHD often receive and expect criticism. Look for good behavior, and praise it. For Adults: A professional counselor or therapist can help an adult with ADHD learn how to organize his or her life with tools such as: Keeping routines Making lists for different tasks and activities Using a calendar for scheduling events Using reminder notes Assigning a special place for keys, bills, and paperwork Breaking down large tasks into more manageable, smaller steps so that completing each part of the task provides a sense of accomplishment.",11.0
father suffering from IBS. My father is suffering from IBS and is losing weight day by day.sometimes he even faints due to weakness.He cannot digest food .please help us and suggest us upon this problem.,"Gastroesophageal reflux - discharge (Drug Treatment): Antacids can help neutralize your stomach acid. They do not help to treat the irritation in your esophagus. Common side effects of antacids include diarrhea or constipation. Other over-the-counter drugs and prescription drugs can treat GERD. They work more slowly than antacids but give you longer relief. Your provider can tell you how to take these drugs. There are two different types of these drugs: H2 antagonists: famotidine (Pepcid), cimetidine (Tagamet), ranitidine (Zantac), and nizatidine (Axid) Proton pump inhibitors (PPI): omeprazole (Prilosec or Zegarid), esomeprazole (Nexium), lansoprazole (Prevacid), dexlansoprazole (Dexilant), rabeprazole (AcipHex), and pantoprazole (Protonix)",10.0
Genetic testing. My mother in law is in the last stage if lung cancer and only has days to live. My question is...testing her and comparing her tests with my husbands and his sisters test help to determine if it is genetic? My mother in law and her mother and her mothers sister both had lung cancer and none if them were smokers. I'm real worried about my husband getting lung cancer now and I want find out what we can do to protect him.Thank you,"Lung cancer - small cell (Outlook (Prognosis)): How well you do depends on how much the lung cancer has spread. SCLC is very deadly. Not many people with this type of cancer are still alive 5 years after diagnosis. Treatment can often prolong life for 6 to 12 months, even when the cancer has spread. In rare cases, if SCLC is diagnosed early, treatment may result in a long-term cure.",9.0
Hello i would like more info about Familial Mediterean Fever please as my husband suffers from this. THANKS,"Tumor necrosis factor receptor-associated periodic syndrome (Summary): Tumor necrosis factor receptor-associated periodic syndrome (TRAPS) is an inherited condition characterized by recurrent episodes of fever. Episodes can begin at any age but most often begin in early childhood. Fevers typically last about 3 weeks but can last from a few days to a few months. The amount of time between episodes may vary from weeks to years. Episodes usually occur spontaneously, but are sometimes brought on by a variety of triggers (such as injury, infection, or stress). Symptoms during fever episodes may include abdominal, muscle or joint pains; skin rashes (usually on the limbs); puffiness around the eyes; and inflammation in various areas of the body. Some people develop amyloidosis. [1] TRAPS is caused by mutations in the TNFRSF1A gene and is inherited in an autosomal dominant manner. [1] [2] Treatment may include systemic corticosteroids at the beginning of an episode to reduce its severity and duration. [2]",9.0
High Blood Pressure. I know you may not answer this but my blood pressure comes up at night when I am asleep. I take four medicines. I have asked doctors why this happens and no one knows. This morning at four A.M. It was 164 and I took a clonidine to help get it done. It worries me so.,"Preeclampsia (Treatment): Preeclampsia often resolves after the baby is born and the placenta is delivered. However, it may persist or even begin after delivery. Most often, at 37 weeks, your baby is developed enough to be healthy outside of the womb. As a result, your provider will likely want your baby to be delivered so the preeclampsia does not get worse. You may get medicines to help trigger labor, or you may need a C-section. If your baby is not fully developed and you have mild preeclampsia, the disease can often be managed at home until your baby has matured. The provider will recommend: Frequent doctor visits to make sure you and your baby are doing well. Medicines to lower your blood pressure (sometimes). The severity of preeclampsia may change quickly, so you'll need very careful follow-up. Complete bed rest is no longer recommended. Sometimes, a pregnant woman with preeclampsia is admitted to the hospital. This allows the health care team to watch the baby and mother more closely. Treatment in the hospital may include: Close monitoring of the mother and baby Medicines to control blood pressure and prevent seizures and other complications Steroid injections for pregnancies under 34 weeks gestation to help speed up the development of the baby's lungs You and your provider will continue to discuss the safest time to deliver your baby, considering: How close you are to your due date. The severity of the preeclampsia. Preeclampsia has many severe complications that can harm the mother. How well the baby is doing in the womb. The baby must be delivered if there are signs of severe preeclampsia. These include: Tests that show your baby is not growing well or is not getting enough blood and oxygen. The bottom number of your blood pressure is over 110 mm Hg or is greater than 100 mm Hg consistently over a 24-hour period. Abnormal liver function test results. Severe headaches. Pain in the belly area (abdomen). Seizures or changes in mental function (eclampsia). Fluid buildup in the mother's lungs. HELLP syndrome (rare). Low platelet count or bleeding. Low urine output, a lot of protein in the urine, and other signs that your kidneys are not working properly.",3.0
"how to remove my mouth ulcer/canker. Hello dear Dr, i am NAME, the mouth ulcer problem is the worst problem in my lifetime, even three or four times the ulcer grow up in the mouth during of a month. even i can not eat or drink, even though i take care of my mouth every day, so i wish you to consult me about of removing of these ulcer forever. thank you so much","Canker sore (Exams and Tests): Your health care provider can often make the diagnosis by looking at the sore. If canker sores persist or continue to return, tests should be done to look for other causes, such as erythema multiforme, drug allergies, herpes infection, and bullous lichen planus. You may need further testing or a biopsy to look for other causes of mouth ulcers. Canker sores are not cancer and do not cause cancer. There are types of cancer, however, that may first appear as a mouth ulcer that does not heal.",8.0
How to Stop Snoring. How to Stop Snoring,"Snoring (Lifestyle and home remedies): To prevent or quiet snoring, try these tips: - If you're overweight, lose weight. People who are overweight may have extra tissues in the throat that contribute to snoring. Losing weight can help reduce snoring. - Sleep on your side. Lying on your back allows your tongue to fall backward into your throat, narrowing your airway and partially obstructing airflow. Try sleeping on your side. If you find that you always end up on your back in the middle of the night, try sewing a tennis ball in the back of your pajama top. - Raise the head of your bed. Raising the head of your bed by about 4 inches may help. - Nasal strips or an external nasal dilator. Adhesive strips applied to the bridge of the nose help many people increase the area of their nasal passage, enhancing their breathing. A nasal dilator is a stiffened adhesive strip applied externally across the nostrils that may help decrease airflow resistance so you breathe easier. Nasal strips and external nasal dilators aren't effective for people with OSA, however. - Treat nasal congestion or obstruction. Having allergies or a deviated septum can limit airflow through your nose. This forces you to breathe through your mouth, increasing the likelihood of snoring. Ask your doctor about a prescription steroid spray if you have chronic congestion. To correct a structural defect in your airway, such as a deviated septum, you may need surgery. - Limit or avoid alcohol and sedatives. Avoid drinking alcoholic beverages at least two hours before bedtime, and let your doctor know about your snoring before taking sedatives. Sedatives and alcohol depress your central nervous system, causing excessive relaxation of muscles, including the tissues in your throat. - Quit smoking. Smoking cessation may reduce snoring, in addition to having numerous other health benefits. - Get enough sleep. Adults should aim for at least seven hours of sleep per night. The recommended hours of sleep for children vary by age. Preschool-aged children should get 10 to 13 hours a day. School-age children need nine to 12 hours a day, and teens should have eight to 10 hours a day.",9.0
I have exercise induced asthma. Would any of these non drug devises be suitable please?,"Exercise-induced asthma (Symptoms): Signs and symptoms of exercise-induced bronchoconstriction may begin during or a few minutes after exercise, and they may persist for 30 minutes or longer if left untreated. The signs and symptoms may include: - Coughing - Wheezing - Shortness of breath - Chest tightness or pain - Fatigue during exercise - Poorer than expected athletic performance - Feeling out of shape even when you're in good physical shape - Avoidance of activity (a sign primarily among young children) When to see a doctor See your doctor if you experience any signs or symptoms of exercise-induced bronchoconstriction. Because a number of conditions can cause similar symptoms, it's important to get a prompt and accurate diagnosis. Get emergency medical treatment if you have worsening symptoms: - Shortness of breath or wheezing that is quickly getting worse - No improvement even after using a prescription inhaler for asthma attacks",6.0
I just read an article submitted by you that stated your research shows that you've identified the mechanism that causes burning mouth syndrome. Also because of these findings you can find a treatment. I've had this for 15 yrs and am just holding on. When will a good treatment be available?? I belong to a group of over 500 bmsers. We're suffering terribly and were from all over the world. What would the treatment be?,"Crohn disease - discharge (Drug Treatment): Your provider may give you some drugs to help relieve your symptoms. Based on how bad your Crohn disease is and how you respond to treatment, your provider may recommend one or more of these drugs: Anti-diarrhea drugs can help when you have very bad diarrhea. Loperamide (Imodium) can be bought without a prescription. Always talk to your provider before using these drugs. Fiber supplements may help your symptoms. You can buy psyllium powder (Metamucil) or methylcellulose (Citrucel) without a prescription. Ask your provider about these. Always talk to your provider before using any laxative medicines. You may use acetaminophen (Tylenol) for mild pain. Drugs such as aspirin, ibuprofen (Advil, Motrin), or naproxen (Aleve, Naprosyn) may make your symptoms worse. Talk to your provider about medicines you can use. You may need a prescription for stronger pain medicines. There are many types of drugs that can help prevent or treat attacks of your Crohn disease.",10.0
"I want more information on Hypertension and fibromyalgia, I seem to be getting only topics on diabetes and I do not have this. I enjoy reading the current info.","Bursitis (Who gets it? Who gets bursitis?): You are more likely to get bursitis if you do the same kinds of movements every day or put stress on your joints. People like carpenters, gardeners, musicians, and athletes often get bursitis. Infection, arthritis, gout, thyroid disease, and diabetes can also cause bursitis. Bursitis is more likely the older you get.You are more likely to get bursitis if you do the same kinds of movements every day or put stress on your joints. People like carpenters, gardeners, musicians, and athletes often get bursitis. Infection, arthritis, gout, thyroid disease, and diabetes can also cause bursitis. Bursitis is more likely the older you get.",10.0
Jaundice. Can older infants get jaundice? What is the age range?,Gilbert syndrome (Causes): Gilbert syndrome affects 1 in 10 people in some white groups.,11.0
